id,treatment,changeAppoint
20,1,-10.23151588
44,1,2.623456717
66,1,13.85485363
74,1,-20.59925079
79,1,-19.5402298
97,1,19.86183167
100,1,-11.3768959
119,1,-5.8904109
121,1,-3.898305178
136,1,-6.627906799
138,1,3
154,1,-6.227106094
174,1,65.99764252
183,1,12.62425423
190,1,9.934497833
211,1,18.35106468
229,1,11.39240551
231,1,28.73831749
235,1,-17.97297287
243,1,20.96436119
255,1,1.849948645
263,1,18.63979912
275,1,5.831903934
1,0,7.274827003
2,0,-3.428571463
3,0,28.13370514
4,0,-8.726625443
5,0,7.644628048
6,0,-1.5535568
7,0,-34.13333511
8,0,-5.145413876
9,0,17.78907204
10,0,-11.22112179
11,0,-25.27777863
12,0,41.40845108
13,0,35.10274124
14,0,-12.71382332
15,0,6.92771101
16,0,-21.38857841
17,0,-17.54940796
18,0,-26.03833771
19,0,-20.98765373
21,0,-12.92134857
22,0,-22.4736042
23,0,-24.30981636
24,0,16.19047546
25,0,-2.130325794
26,0,14.3724699
27,0,9.634255409
28,0,-7.294552326
29,0,-20.54001999
30,0,-10.56201553
31,0,-15.5882349
32,0,-3.340757132
33,0,-19.40393066
34,0,15.03105545
35,0,85.36585236
36,0,-9.100101471
37,0,-2.805836201
38,0,36.7088623
39,0,16.31579018
40,0,-9.345794678
41,0,-12.77823544
42,0,4.965517044
43,0,-5.137614727
45,0,-15.38461494
46,0,-13.96103859
47,0,-45.51724243
48,0,-25.5813961
49,0,-30.21463966
50,0,-19.56100655
51,0,20.15781975
52,0,-16.73052406
53,0,-51.71974564
54,0,-28.37510109
55,0,-17.07317162
56,0,-7.198612213
57,0,6.335616589
58,0,6.090808392
59,0,-6.157793522
60,0,30.05698013
61,0,40.59278488
62,0,-1.213346839
63,0,34.51720428
64,0,-18.85758972
65,0,-19.22626114
67,0,19.96047401
68,0,-1.553398013
69,0,6.760204315
70,0,-1.298701286
71,0,2.628811836
72,0,23.2403717
73,0,-9.699453354
75,0,-40
76,0,-8.811475754
77,0,-15.57788944
78,0,-23.77622414
80,0,-7.142857075
81,0,-20.22472
82,0,-29.98027611
83,0,-0.367647052
84,0,18.80674362
85,0,17.0154686
86,0,8.791209221
87,0,13.45029259
88,0,4.318936825
89,0,22.19705582
90,0,-25.31712532
91,0,6.089743614
92,0,15.05065155
93,0,-1.661474586
94,0,-8.093995094
95,0,-9.053498268
96,0,21.81818199
98,0,-14.69957066
99,0,33.20079422
101,0,14.54545498
102,0,-4.656084538
103,0,-16.69054413
104,0,15.49295807
105,0,-17.0172081
106,0,-4.949784756
107,0,6.543967247
108,0,-12.17081833
109,0,-4.524887085
110,0,-46.25167465
111,0,-47.37827682
112,0,-22.13181496
113,0,-36.26817322
114,0,-12.96076107
115,0,-7.917888641
116,0,-12.86783028
117,0,26.36363602
118,0,-12.8767128
120,0,7.019562721
122,0,1.920439005
123,0,11.7469883
124,0,-16.47211456
125,0,-18.42105293
126,0,-26.19047546
127,0,-26.06263924
128,0,-13.81278515
129,0,-11.44945145
130,0,-4.17124033
131,0,-1.77935946
132,0,-7.230559349
133,0,-17.75700951
134,0,-37.2436409
135,0,-5.84795332
137,0,-12.32323265
139,0,-11.7408905
140,0,-37.58510971
141,0,-3.894616365
142,0,-17.30126953
143,0,23.76847267
144,0,53.79229736
145,0,-9.984639168
146,0,-17.84776878
147,0,37.55102158
148,0,1.073619604
149,0,10.09803963
150,0,-63.12625122
151,0,-36.85800552
152,0,-36.55172348
153,0,36.38676834
155,0,-8.938547134
156,0,-18.90440369
157,0,-28.75968933
158,0,-10.8081789
159,0,-3.712035894
160,0,-7.539267063
161,0,10.44585991
162,0,-8.087615967
163,0,-4.323094368
164,0,-10.74540138
165,0,11.57125473
166,0,9.035326004
167,0,-10.94710922
168,0,-31.25
169,0,15.48076916
170,0,-21.35306549
171,0,14.20590591
172,0,1.25
173,0,6.203840256
175,0,4.938271523
176,0,-0.432900429
177,0,1.168614388
178,0,-2.410640001
179,0,7.885304451
180,0,-50.56433487
181,0,21.875
182,0,-21.56097603
184,0,-9.547739029
185,0,5.94479847
186,0,-1.317716002
187,0,-6.259541988
188,0,-15.44327927
189,0,-44.6354866
191,0,11.83745575
192,0,9.5674963
193,0,6.818181992
194,0,-16.42796898
195,0,16.85393333
196,0,13.16239357
197,0,7.20640564
198,0,-18.0457058
199,0,-0.807381749
200,0,-17.00118065
201,0,-19.8680954
202,0,10.5344696
203,0,-10.13645267
204,0,9.972299576
205,0,-3.959390879
206,0,-6.185566902
207,0,-19.16771698
208,0,8.873720169
209,0,26.9366188
210,0,6.233987808
212,0,12.09253407
213,0,-0.708661437
214,0,-1.267427087
215,0,-5.357142925
216,0,-9.367396355
217,0,-35.02673721
218,0,-43.45454407
219,0,13.33973122
220,0,1.637666345
221,0,-37.19008255
222,0,4.406130314
223,0,10.930233
224,0,10.37594032
225,0,-20.80745316
226,0,0.507614195
227,0,18.89908218
228,0,6.919642925
230,0,66.1111145
232,0,-37.50869751
233,0,-16.39751625
234,0,0.927152336
236,0,4.801324368
237,0,-2.614968538
238,0,30.59581375
239,0,-9.584664345
240,0,-3.6281178
241,0,22.53787804
242,0,16.75126839
244,0,-16.8449192
245,0,-4.375
246,0,-9.537166595
247,0,-18.50040817
248,0,-2.354398966
249,0,2.687140226
250,0,-15.94533062
251,0,57.72870636
252,0,45.40540695
253,0,36.54676437
254,0,25.1376152
256,0,31.42437553
257,0,-19.06005287
258,0,-9.579832077
259,0,-22.61580467
260,0,25.5289135
261,0,-7.509881496
262,0,-3.454231501
264,0,-7.352941036
265,0,6.075418949
266,0,-3.255813837
267,0,-13.61940289
268,0,-33.02510071
269,0,0.489396423
270,0,0
271,0,7.17658186
272,0,15.30139065
273,0,-2.937062979
274,0,-4.854980946
276,0,6.778087139
277,0,1.916167617
278,0,15.8139534
279,0,-19.70495224
280,0,-40.3571434
281,0,0.120918982
282,0,5.286343575
283,0,29.4285717
