age,total_performance,female,tr
23,800,0,1
28,950,0,1
24,1250,1,1
21,950,1,1
20,950,1,1
26,900,1,1
19,1700,1,1
28,800,1,1
29,750,1,1
23,1400,1,1
23,1400,1,1
35,750,0,1
41,1300,0,1
23,1200,0,1
32,1100,1,1
28,1100,1,1
26,1300,0,1
38,750,1,1
25,650,1,1
19,750,1,1
31,800,0,2
26,1250,0,2
21,900,1,2
34,600,0,2
25,1050,1,2
23,950,1,2
23,1400,1,2
30,1000,1,2
17,700,0,2
26,1250,0,2
24,1000,1,2
23,1050,0,2
23,1400,1,2
19,1000,1,2
19,900,1,2
25,1000,1,2
22,1000,1,2
21,950,1,2
35,1100,0,2
23,800,1,2
26,1500,1,2
27,850,1,2
25,1150,1,2
21,1250,1,2
21,1250,1,2
27,1400,1,2
24,1300,1,2
26,800,1,2
26,1300,1,2
24,850,0,2
21,1400,1,2
26,1450,1,2
22,900,0,2
26,1500,1,2
24,800,0,2
23,1100,1,2
23,850,0,2
30,950,1,2
22,900,1,3
29,1550,0,3
21,950,1,3
23,1150,1,3
20,1250,1,3
32,1350,1,3
38,550,1,3
31,1000,0,3
29,900,0,3
26,1400,0,3
26,1400,1,3
19,1450,1,3
29,950,0,3
19,950,1,3
22,1900,1,3
30,1150,0,3
23,1700,1,3
28,1400,0,3
22,1300,1,3
23,1250,1,3
24,1100,1,3
21,1000,1,3
28,1400,1,3
25,1100,1,3
20,1150,0,3
26,1350,1,3
23,1050,1,3
19,1050,1,3
30,1200,0,3
27,1200,1,3
29,1050,0,3
24,1400,0,3
23,1550,1,3
19,1200,1,3
22,950,1,3
37,750,0,3
27,1000,0,3
28,1200,1,3
19,1200,1,3
